Meshno,Category,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity
59,Glass,0.946667,0.4,0.961644,0.222222,0.983193,0.925333,0,0.950685,0,0.971989,0.957333,0.6,0.967123,0.333333,0.988796
60,Glass,0.952,0.5,0.964384,0.277778,0.985994,0.930667,0.1,0.953425,0.0555556,0.97479,0.952,0.5,0.964384,0.277778,0.985994
61,Airplane,0.941333,0.4,0.956164,0.2,0.983099,0.92,0,0.945205,0,0.971831,0.952,0.6,0.961644,0.3,0.988732
62,Airplane,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648
63,Airplane,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648
64,Airplane,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.946667,0.5,0.958904,0.25,0.985915
65,Airplane,0.957333,0.7,0.964384,0.35,0.991549,0.930667,0.2,0.950685,0.1,0.977465,0.957333,0.7,0.964384,0.35,0.991549
66,Airplane,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
67,Airplane,0.952,0.6,0.961644,0.3,0.988732,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
68,Airplane,0.962667,0.8,0.967123,0.4,0.994366,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
69,Airplane,0.957333,0.7,0.964384,0.35,0.991549,0.930667,0.2,0.950685,0.1,0.977465,0.962667,0.8,0.967123,0.4,0.994366
70,Airplane,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648
71,Airplane,0.941333,0.4,0.956164,0.2,0.983099,0.936,0.3,0.953425,0.15,0.980282,0.952,0.6,0.961644,0.3,0.988732
72,Airplane,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.957333,0.7,0.964384,0.35,0.991549
73,Airplane,0.952,0.6,0.961644,0.3,0.988732,0.930667,0.2,0.950685,0.1,0.977465,0.957333,0.7,0.964384,0.35,0.991549
